what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180098909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180099061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1462180100536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180108271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180212880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180216823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180467221
executed,command,,,"AUTOGEN:::org.eclipse.php.editor.ruler.actions/org.eclipse.php.internal.ui.editor.PhpSelectRulerAction",1462180479505
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180498351
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180527402
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180527635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180773578
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462180785990
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1462180787189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180811171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180856242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180867014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180883118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180883607
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180888008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180889248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180890309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180890720
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180891342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462180960059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462181060350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462181145627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462181147963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462181157252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462181170589
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462181211847
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462182010719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1462182031681
